id_pinjam;nik;nama;periode;angsuran;utang;bayar;saldo
91;7106;RANGGA;2024-07;500000;6000000;500000;5500000
91;7106;RANGGA;2024-08;500000;6000000;1000000;5000000
91;7106;RANGGA;2024-09;500000;6000000;1500000;4500000
91;7106;RANGGA;2024-10;500000;6000000;2000000;4000000
91;7106;RANGGA;2024-11;500000;6000000;2500000;3500000
91;7106;RANGGA;2024-12;500000;6000000;3000000;3000000
91;7106;RANGGA;2025-01;500000;6000000;3500000;2500000
91;7106;RANGGA;2025-02;500000;6000000;4000000;2000000
91;7106;RANGGA;2025-03;500000;6000000;4500000;1500000
91;7106;RANGGA;2025-04;500000;6000000;5000000;1000000
91;7106;RANGGA;2025-05;500000;6000000;5500000;500000
91;7106;RANGGA;2025-06;500000;6000000;6000000;0
