no; id_pinjam; nik; nama; periode; angsuran; utang; bayar; saldo
621;95;9039;LEVI ACKERMAN;2024-08;3000000;50000000;3000000;47000000
622;95;9039;LEVI ACKERMAN;2024-09;3000000;50000000;6000000;44000000
623;95;9039;LEVI ACKERMAN;2024-10;3000000;50000000;9000000;41000000
624;95;9039;LEVI ACKERMAN;2024-11;3000000;50000000;12000000;38000000
625;95;9039;LEVI ACKERMAN;2024-12;3000000;50000000;15000000;35000000
626;95;9039;LEVI ACKERMAN;2025-01;3000000;50000000;18000000;32000000
627;95;9039;LEVI ACKERMAN;2025-02;3000000;50000000;21000000;29000000
628;95;9039;LEVI ACKERMAN;2025-03;3000000;50000000;24000000;26000000
629;95;9039;LEVI ACKERMAN;2025-04;3000000;50000000;27000000;23000000
630;95;9039;LEVI ACKERMAN;2025-05;3000000;50000000;30000000;20000000
631;95;9039;LEVI ACKERMAN;2025-06;3000000;50000000;33000000;17000000
632;95;9039;LEVI ACKERMAN;2025-07;3000000;50000000;36000000;14000000
633;95;9039;LEVI ACKERMAN;2025-08;3000000;50000000;39000000;11000000
634;95;9039;LEVI ACKERMAN;2025-09;3000000;50000000;42000000;8000000
635;95;9039;LEVI ACKERMAN;2025-10;3000000;50000000;45000000;5000000
636;95;9039;LEVI ACKERMAN;2025-11;3000000;50000000;48000000;2000000
637;95;9039;LEVI ACKERMAN;2025-12;2000000;50000000;50000000;0
